time_step  time  K  U  H  kT  p  msd 
1050 2.100000 307.374134 -1101.758673 -794.384538 0.803593 1.528967 0.568979
1060 2.120000 306.465182 -1100.482320 -794.017139 0.801216 1.547329 0.575640
1070 2.140000 310.998579 -1104.730366 -793.731787 0.813068 1.480187 0.581794
1080 2.160000 311.993243 -1105.515991 -793.522748 0.815669 1.455105 0.587741
1090 2.180000 313.715091 -1107.071450 -793.356359 0.820170 1.435272 0.593741
1100 2.200000 313.406226 -1106.636151 -793.229925 0.819363 1.461325 0.600024
1110 2.220000 307.556895 -1100.572471 -793.015576 0.804070 1.577866 0.606763
1120 2.240000 297.951800 -1090.515012 -792.563211 0.778959 1.750414 0.613884
1130 2.260000 296.100483 -1088.004312 -791.903829 0.774119 1.817860 0.621003
1140 2.280000 301.138220 -1092.472251 -791.334031 0.787289 1.783132 0.627863
1150 2.300000 301.894833 -1092.711675 -790.816841 0.789268 1.790380 0.634580
1160 2.320000 308.174842 -1098.572738 -790.397895 0.805686 1.724075 0.641417
1170 2.340000 314.025263 -1104.218743 -790.193480 0.820981 1.660071 0.648731
1180 2.360000 311.671971 -1101.721926 -790.049955 0.814829 1.700590 0.656776
1190 2.380000 305.608669 -1095.364921 -789.756251 0.798977 1.786468 0.665591
1200 2.400000 307.844892 -1097.210286 -789.365394 0.804823 1.758081 0.675085
1210 2.420000 319.514242 -1108.739224 -789.224982 0.835331 1.600090 0.685126
1220 2.440000 323.163521 -1112.518467 -789.354946 0.844872 1.539745 0.695568
1230 2.460000 317.798246 -1107.250624 -789.452378 0.830845 1.601069 0.706009
1240 2.480000 312.172043 -1101.525837 -789.353794 0.816136 1.671415 0.715856
1250 2.500000 309.572402 -1098.696558 -789.124155 0.809340 1.694356 0.724762
1260 2.520000 310.348274 -1099.224292 -788.876018 0.811368 1.660819 0.733044
1270 2.540000 306.181761 -1094.771926 -788.590165 0.800475 1.680950 0.741237
1280 2.560000 305.349692 -1093.516831 -788.167139 0.798300 1.653822 0.749337
1290 2.580000 319.739528 -1107.702560 -787.963032 0.835920 1.433972 0.757159
1300 2.600000 329.672427 -1117.893400 -788.220973 0.861889 1.285282 0.764877
1310 2.620000 322.203485 -1110.717632 -788.514147 0.842362 1.388332 0.772810
1320 2.640000 313.201121 -1101.694699 -788.493578 0.818826 1.534023 0.781032
1330 2.660000 311.762581 -1100.074297 -788.311717 0.815066 1.580086 0.789317
1340 2.680000 313.650003 -1101.783862 -788.133860 0.820000 1.567066 0.797599
1350 2.700000 317.184261 -1105.232160 -788.047900 0.829240 1.519257 0.806091
1360 2.720000 319.119148 -1107.173465 -788.054317 0.834298 1.486508 0.814904
1370 2.740000 317.324145 -1105.408925 -788.084780 0.829606 1.514662 0.823882
1380 2.760000 304.544375 -1092.463785 -787.919410 0.796194 1.702629 0.832763
1390 2.780000 285.267568 -1072.501310 -787.233742 0.745798 1.979290 0.841169
1400 2.800000 284.763945 -1071.001803 -786.237858 0.744481 2.005981 0.848622
1410 2.820000 298.552369 -1084.012162 -785.459793 0.780529 1.832735 0.854866
1420 2.840000 306.415802 -1091.405248 -784.989446 0.801087 1.727358 0.860151
1430 2.860000 308.305600 -1092.972556 -784.666956 0.806028 1.701031 0.865020
1440 2.880000 307.726999 -1092.084028 -784.357029 0.804515 1.707055 0.869955
1450 2.900000 308.657379 -1092.691072 -784.033693 0.806947 1.691294 0.875255
1460 2.920000 315.973303 -1099.808583 -783.835280 0.826074 1.595631 0.880918
1470 2.940000 322.067959 -1105.950322 -783.882363 0.842008 1.524982 0.886731
1480 2.960000 318.595888 -1102.579288 -783.983400 0.832930 1.593356 0.892513
1490 2.980000 310.617152 -1094.494658 -783.877506 0.812071 1.734208 0.898109
1500 3.000000 306.923420 -1090.512292 -783.588872 0.802414 1.822662 0.903361
1510 3.020000 302.525008 -1085.726952 -783.201943 0.790915 1.905180 0.908320
1520 3.040000 297.116678 -1079.749791 -782.633113 0.776776 1.975579 0.913118
1530 3.060000 304.125403 -1086.192854 -782.067451 0.795099 1.863624 0.917518
1540 3.080000 317.250815 -1099.091151 -781.840336 0.829414 1.661071 0.921134
1550 3.100000 320.877173 -1102.769170 -781.891997 0.838895 1.585944 0.923765
1560 3.120000 318.471484 -1100.421309 -781.949825 0.832605 1.605079 0.925408
1570 3.140000 316.099297 -1098.023727 -781.924429 0.826403 1.632256 0.926378
1580 3.160000 314.489968 -1096.333936 -781.843967 0.822196 1.646413 0.926912
1590 3.180000 314.652238 -1096.368376 -781.716139 0.822620 1.632227 0.926857
1600 3.200000 316.038917 -1097.696087 -781.657170 0.826246 1.602788 0.926216
1610 3.220000 313.720450 -1095.245137 -781.524687 0.820184 1.624225 0.925591
1620 3.240000 320.681691 -1102.184261 -781.502570 0.838384 1.541598 0.925763
1630 3.260000 315.263007 -1096.819528 -781.556521 0.824217 1.627668 0.927517
1640 3.280000 303.223482 -1084.483220 -781.259739 0.792741 1.801904 0.931271
1650 3.300000 308.952180 -1089.801860 -780.849680 0.807718 1.732884 0.937056
1660 3.320000 320.136520 -1100.880170 -780.743650 0.836958 1.571098 0.944664
1670 3.340000 326.652145 -1107.559784 -780.907638 0.853993 1.468920 0.953531
1680 3.360000 327.647644 -1108.893412 -781.245768 0.856595 1.449295 0.963138
1690 3.380000 319.093540 -1100.517503 -781.423963 0.834231 1.552845 0.973230
1700 3.400000 318.176239 -1099.589425 -781.413187 0.831833 1.548313 0.983288
1710 3.420000 323.490487 -1104.994547 -781.504060 0.845727 1.447532 0.992741
1720 3.440000 325.771416 -1107.500671 -781.729255 0.851690 1.384294 1.001362
1730 3.460000 320.470058 -1102.395993 -781.925935 0.837830 1.433268 1.009377
1740 3.480000 314.243822 -1096.124627 -781.880804 0.821552 1.515282 1.017267
1750 3.500000 317.067052 -1098.863153 -781.796101 0.828933 1.496192 1.025164
1760 3.520000 320.407972 -1102.227427 -781.819455 0.837668 1.474119 1.032857
1770 3.540000 320.123949 -1102.028588 -781.904639 0.836925 1.504995 1.040235
